Summary,temp,RelativeHumidity(%),Wind Speed(Kmph),Solar Raditation(cal/cm^2),AtmosphericPressure (hpa),Elevation
,,,,,,
7/1/2014,54.45,90.5,2.3,97.1,963.9,374.0666667
7/2/2014,27.8,85.8,3,161.2,964.4,374.0666667
7/3/2014,27.85,83.8,2.4,186.2,964.4,374.0666667
7/4/2014,28.4,76.5,2.5,247.1,962.6,374.0666667
7/5/2014,28.05,84.3,2.4,139,962.1,374.0666667
7/6/2014,28,88.3,2.4,127.7,963,374.0666667
7/7/2014,27.35,86.8,2.6,132.9,964.2,374.0666667
7/8/2014,33.3,87.7,2.5,117.8,963.6,374.0666667
7/9/2014,26.85,82.7,2.1,200.7,963,374.0666667
7/10/2014,28.25,77.8,2.3,160.7,963.4,374.0666667
7/11/2014,26.95,76.7,4,132.9,964.5,374.0666667
7/12/2014,28.45,61.1,7.8,187.4,964.1,374.0666667
7/13/2014,28.15,64.1,6.1,218.9,962.8,374.0666667
7/14/2014,27.15,71.6,5.6,160.6,962.8,374.0666667
7/15/2014,27.65,77.9,3.9,154.4,962.2,374.0666667
7/16/2014,28.05,76.2,4.7,185.9,962.5,374.0666667
7/17/2014,28.3,67.9,4.8,225.5,963.2,374.0666667
7/18/2014,27.35,69.5,4.6,224.5,963,374.0666667
7/19/2014,29.1,61,6.9,197.7,963.5,374.0666667
7/20/2014,28.85,60.8,7,192.2,963.9,374.0666667
7/21/2014,27.95,68.5,6,165.8,963.8,374.0666667
7/22/2014,28.05,73.1,3.6,155,963.7,374.0666667
7/23/2014,28.7,74,3.8,189.1,963.8,374.0666667
7/24/2014,26.05,86.5,3.1,100.4,964.1,374.0666667
7/25/2014,27.2,76.7,3.6,169.8,964.5,374.0666667
7/26/2014,28,76.5,3,147.1,965.3,374.0666667
7/27/2014,28.25,76.9,3,132.5,965,374.0666667
7/28/2014,28.7,70.4,2.8,161.8,964.8,374.0666667
7/29/2014,28.4,64,3.5,156.3,963.7,374.0666667
7/30/2014,27.8,66,4.9,146,963.7,374.0666667
7/31/2014,29.1,64.3,6.2,186.2,963.8,374.0666667
8/1/2014,28.65,75.5,5.4,193,963.5,374.0666667
8/2/2014,26.25,93.9,2.8,87.8,964,374.0666667
8/3/2014,26.65,85.3,2.8,140.4,964,374.0666667
8/4/2014,28,75.2,2.6,181.7,963.1,374.0666667
